ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.02,2.0,Arian Foster,RB,HOU,160,1.0,1,5,8
1.02,2.1,Aaron Rodgers,QB,GB,108,1.4,1,7,5
1.02,2.3,Ray Rice,RB,BAL,105,1.0,1,5,7
1.05,4.6,Tom Brady,QB,NE,94,1.9,1,9,5
1.05,5.3,LeSean McCoy,RB,PHI,184,1.9,1,11,9
1.06,5.9,Calvin Johnson,WR,DET,80,1.6,2,11,5
1.06,6.4,Darren McFadden,RB,LV,85,1.6,3,10,6
1.07,7.3,Drew Brees,QB,NO,128,1.8,2,11,6
1.09,8.9,Chris Johnson,RB,TEN,141,2.0,3,14,4
1.10,10.3,Matt Forte,RB,CHI,87,2.0,5,16,11
1.12,11.7,DeMarco Murray,RB,DAL,94,2.1,6,20,10
1.12,12.0,Matthew Stafford,QB,DET,93,2.8,5,21,5
2.01,13.3,Jimmy Graham,TE,NO,74,3.1,6,23,6
2.03,14.9,Julio Jones,WR,ATL,116,3.4,6,26,10
2.03,14.9,Maurice Jones-Drew,RB,JAX,125,3.8,5,27,8
2.04,15.6,Marshawn Lynch,RB,SEA,77,3.5,10,35,6
2.04,16.5,Cam Newton,QB,CAR,109,4.7,4,27,13
2.06,17.7,Jamaal Charles,RB,KC,100,3.8,11,36,10
2.06,18.4,Adrian Peterson,RB,MIN,117,3.5,12,37,7
2.08,19.7,Rob Gronkowski,TE,NE,114,3.5,10,28,5
2.08,20.1,Fred Jackson,RB,None,119,4.4,9,43,None
2.08,20.4,Ryan Mathews,RB,LAC,107,4.3,11,31,6
2.10,21.5,Steven Jackson,RB,ATL,125,4.3,10,34,10
2.11,22.5,Larry Fitzgerald,WR,ARI,144,4.6,10,33,8
2.12,24.4,Brandon Marshall,WR,CHI,120,4.2,13,33,11
3.01,25.4,Doug Martin,RB,TB,91,4.0,15,34,13
3.02,26.2,A.J. Green,WR,CIN,100,4.3,15,39,9
3.03,27.2,Andre Johnson,WR,HOU,103,4.4,15,36,8
3.04,28.2,Greg Jennings,WR,MIN,110,3.9,18,40,7
3.05,28.5,Trent Richardson,RB,CLE,118,4.5,16,38,9
3.06,30.3,Roddy White,WR,ATL,107,4.8,17,40,10
3.06,30.3,Darren Sproles,RB,NO,98,4.7,18,41,6
3.07,31.1,Wes Welker,WR,DEN,107,6.6,13,43,5
3.08,32.5,Victor Cruz,WR,NYG,103,4.2,21,44,11
3.09,33.0,Michael Turner,RB,FA,99,6.8,18,64,12
3.10,34.2,Matt Ryan,QB,ATL,85,7.2,15,46,10
3.11,34.7,Jordy Nelson,WR,GB,103,4.9,21,59,5
4.02,37.7,Ahmad Bradshaw,RB,FA,100,5.5,25,48,12
4.02,37.9,Hakeem Nicks,WR,NYG,107,4.4,26,52,11
4.03,39.5,Dez Bryant,WR,DAL,81,4.6,27,51,10
4.04,40.4,Percy Harvin,WR,SEA,89,4.2,29,50,6
4.05,41.3,Frank Gore,RB,SF,106,6.7,24,67,11
4.06,41.9,Aaron Hernandez,TE,NE,85,8.4,20,67,5
4.06,42.5,Willis McGahee,RB,DEN,91,5.5,28,52,5
4.07,43.3,Antonio Brown,WR,PIT,100,4.7,31,58,4
4.08,44.5,Michael Vick,QB,PHI,119,11.0,15,69,9
4.10,45.5,Marques Colston,WR,NO,88,4.7,35,61,6
4.10,45.6,Antonio Gates,TE,LAC,69,4.8,33,56,6
4.11,47.1,Steve Smith,WR,CAR,94,5.2,33,58,13
4.12,48.0,Eric Decker,WR,DEN,121,6.5,31,83,5
5.02,49.7,BenJarvus Green-Ellis,RB,CIN,84,8.2,28,82,9
5.02,49.9,Eli Manning,QB,NYG,112,11.0,21,75,11
5.02,50.0,Brandon Lloyd,WR,FA,113,6.2,33,84,12
5.02,50.3,Reggie Bush,RB,DET,110,7.6,35,88,5
5.03,51.2,Mike Wallace,WR,MIA,141,6.1,35,66,7
5.05,52.8,Peyton Manning,QB,DEN,85,13.3,18,82,5
5.07,55.2,DeSean Jackson,WR,PHI,93,5.5,40,75,9
5.08,56.0,Stevan Ridley,RB,NE,92,7.9,39,96,5
5.08,56.4,Vernon Davis,TE,SF,72,8.1,35,77,11
5.09,57.2,Cedric Benson,RB,GB,88,7.0,39,71,5
5.10,58.0,Demaryius Thomas,WR,DEN,90,6.2,42,82,5
6.02,61.8,Torrey Smith,WR,BAL,94,7.9,48,108,7
6.02,62.4,Peyton Hillis,RB,KC,73,6.6,45,76,10
6.03,62.6,Tony Romo,QB,DAL,108,11.3,33,94,10
6.03,62.7,Jeremy Maclin,WR,PHI,98,5.3,50,77,9
6.03,63.1,Jermichael Finley,TE,GB,94,8.3,41,82,5
6.04,63.7,Dwayne Bowe,WR,KC,108,8.1,42,105,10
6.06,66.3,Steve Johnson,WR,None,96,7.1,49,102,None
6.08,67.8,Vincent Jackson,WR,TB,101,10.4,40,120,13
6.08,67.9,Donald Brown,RB,IND,80,8.0,51,107,7
6.10,69.7,Shonn Greene,RB,TEN,85,7.8,49,90,4
6.11,71.1,Miles Austin,WR,DAL,105,5.4,59,85,10
7.01,72.9,Reggie Wayne,WR,IND,82,6.2,56,92,7
7.01,73.1,Philip Rivers,QB,LAC,111,12.6,40,97,6
7.01,73.2,Brandon Pettigrew,TE,DET,60,10.0,47,89,5
7.02,73.9,David Wilson,RB,NYG,82,10.6,46,111,11
7.03,75.0,Kevin Smith,RB,DET,73,12.0,43,121,5
7.04,75.6,Pierre Garcon,WR,WAS,92,7.1,57,89,8
7.04,76.2,DeAngelo Williams,RB,CAR,81,8.1,55,93,13
7.05,76.8,Kenny Britt,WR,TEN,73,7.0,61,93,4
7.07,79.0,Jason Witten,TE,DAL,60,11.9,47,116,10
7.08,80.5,Justin Blackmon,WR,JAX,73,8.5,62,126,8
7.08,80.5,Ben Tate,RB,HOU,75,7.5,61,96,8
7.09,80.8,Jay Cutler,QB,CHI,108,15.2,41,105,11
7.10,82.0,Titus Young,WR,DET,80,8.9,58,134,5
7.11,83.2,Ryan Williams,RB,ARI,73,7.8,65,103,8
8.02,85.6,Isaac Redman,RB,PIT,65,9.5,60,100,4
8.03,87.2,Beanie Wells,RB,FA,81,11.4,57,104,12
8.04,87.9,Fred Davis,TE,WAS,59,15.7,54,133,8
8.04,88.0,Mark Ingram,RB,NO,75,9.7,62,101,6
8.05,88.8,San Francisco Defense,DEF,SF,97,12.5,56,102,11
8.06,89.8,Anquan Boldin,WR,SF,62,6.9,71,106,11
8.06,90.4,Tony Gonzalez,TE,ATL,73,16.4,47,136,10
8.08,92.1,Malcom Floyd,WR,LAC,71,10.4,68,154,6
8.09,92.6,Ben Roethlisberger,QB,PIT,88,15.6,52,119,4
8.10,94.0,Michael Bush,RB,CHI,60,11.4,73,159,11
8.11,94.9,Robert Griffin III,QB,WAS,105,18.9,45,118,8
8.11,95.1,Jonathan Stewart,RB,CAR,48,11.8,76,122,13
8.11,95.4,Darrius Heyward-Bey,WR,IND,54,7.1,81,112,7
8.11,95.5,Lance Moore,WR,NO,75,9.0,72,109,6
9.01,97.3,Roy Helu,RB,WAS,45,7.1,82,116,8
9.03,98.6,C.J. Spiller,RB,None,66,13.8,70,180,None
9.05,100.9,Matt Schaub,QB,HOU,78,12.9,67,122,8
9.06,101.6,Jacquizz Rodgers,RB,ATL,52,14.6,73,178,10
9.06,102.3,Nate Washington,WR,TEN,52,9.2,81,130,4
9.07,103.3,Toby Gerhart,RB,MIN,60,16.4,60,157,7
9.08,103.5,Mikel Leshoure,RB,DET,52,10.2,79,131,5
9.09,105.1,Danny Amendola,WR,NE,50,14.1,83,179,5
9.10,105.8,Sidney Rice,WR,SEA,63,11.9,74,124,6
9.11,107.0,Jacob Tamme,TE,DEN,85,16.3,71,142,5
9.12,107.7,Greg Olsen,TE,CAR,84,17.5,62,156,13
9.12,108.0,Andrew Luck,QB,IND,75,16.6,64,126,7
10.03,111.0,Kendall Wright,WR,TEN,46,10.0,85,138,4
10.03,111.2,Denarius Moore,WR,LV,57,9.9,85,136,6
10.05,113.2,Robert Meachem,WR,LAC,65,10.3,86,134,6
10.07,114.8,Michael Crabtree,WR,SF,48,11.5,84,130,11
10.07,115.1,Joe Flacco,QB,BAL,68,11.5,85,131,7
10.10,117.7,Baltimore Defense,DEF,BAL,60,15.0,78,138,7
10.10,118.2,Rashard Mendenhall,RB,ARI,117,15.2,82,154,8
10.10,118.3,Santonio Holmes,WR,NYJ,43,14.7,80,148,10
10.11,119.5,Russell Wilson,QB,SEA,67,12.0,88,137,6
11.01,121.0,Greg Little,WR,CLE,44,12.0,89,139,9
11.02,121.8,Philadelphia Defense,DEF,PHI,57,10.5,96,141,9
11.02,122.0,LeGarrette Blount,RB,TB,51,9.7,98,142,13
11.04,123.6,Jermaine Gresham,TE,CIN,81,15.8,82,160,9
11.07,126.6,Randy Moss,WR,SF,47,11.3,99,151,11
11.09,129.1,David Akers,PK,SF,93,20.8,74,153,11
12.02,134.0,Jared Cook,TE,LAR,83,19.1,84,169,9
12.03,135.0,Sebastian Janikowski,PK,LV,56,22.8,75,159,6
12.06,137.5,Daniel Thomas,RB,MIA,53,15.5,97,165,7
12.06,137.7,Austin Collie,WR,IND,50,14.0,101,169,7
12.08,140.3,Kyle Rudolph,TE,MIN,75,18.5,92,168,7
12.08,140.3,Robert Turbin,RB,SEA,44,26.8,70,175,6
12.09,141.4,Santana Moss,WR,WAS,49,12.5,109,173,8
12.11,142.6,Stephen Gostkowski,PK,NE,59,17.4,97,160,5
13.01,144.8,Alfred Morris,RB,WAS,42,17.2,103,171,8
13.02,145.8,NY Giants Defense,DEF,NYG,53,19.1,96,178,11
13.03,146.9,Jonathan Dwyer,RB,PIT,62,19.1,108,177,4
13.03,147.3,Evan Royster,RB,WAS,90,19.4,108,179,8
13.03,147.4,Jerome Simpson,WR,MIN,42,15.9,105,175,7
13.05,148.9,Coby Fleener,TE,IND,56,20.6,105,179,7
13.09,152.8,NY Jets Defense,DEF,NYJ,63,14.3,115,179,10
13.11,154.7,Brent Celek,TE,PHI,51,21.2,99,179,9
13.12,156.1,Laurent Robinson,WR,JAX,41,12.3,128,177,8
14.01,156.8,Buffalo Defense,DEF,BUF,62,13.0,123,179,11
