ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.01,1.4,Todd Gurley,RB,LAR,709,0.6,1,4,9
1.03,2.6,LeVeon Bell,RB,PIT,699,0.9,1,5,4
1.03,3.4,David Johnson,RB,ARI,635,1.2,1,9,8
1.04,3.7,Ezekiel Elliott,RB,DAL,629,1.3,1,8,10
1.06,5.8,Saquon Barkley,RB,NYG,592,1.5,1,12,11
1.06,6.5,Antonio Brown,WR,PIT,673,1.7,1,14,4
1.07,6.8,Alvin Kamara,RB,NO,642,1.6,2,12,6
1.08,7.8,Leonard Fournette,RB,JAX,708,1.7,3,13,8
1.09,8.8,Melvin Gordon,RB,LAC,793,1.7,4,15,6
1.10,10.0,Kareem Hunt,RB,KC,711,1.9,5,16,10
1.11,11.1,DeAndre Hopkins,WR,HOU,699,1.9,6,17,8
1.12,12.3,Odell Beckham Jr,WR,NYG,698,2.1,6,17,11
2.01,13.2,Dalvin Cook,RB,MIN,690,2.0,7,20,7
2.02,14.0,Christian McCaffrey,RB,CAR,736,2.0,8,22,13
2.03,15.1,Julio Jones,WR,ATL,696,2.3,9,22,10
2.04,15.9,Jordan Howard,RB,CHI,671,2.5,9,23,11
2.05,17.3,Devonta Freeman,RB,ATL,650,2.4,11,25,10
2.06,18.1,Michael Thomas,WR,NO,739,2.5,11,30,6
2.07,19.1,Davante Adams,WR,GB,711,2.5,12,29,5
2.09,20.7,Keenan Allen,WR,LAC,681,2.3,14,30,6
2.09,20.8,Joe Mixon,RB,CIN,632,2.9,13,30,9
2.09,21.4,Rob Gronkowski,TE,NE,659,3.2,13,31,5
2.11,22.8,A.J. Green,WR,CIN,759,2.4,16,31,9
3.01,24.5,Derrick Henry,RB,TEN,459,3.9,14,36,4
3.02,25.9,Alex Collins,RB,BAL,589,3.6,16,38,7
3.03,26.8,Mike Evans,WR,TB,529,2.8,19,37,13
3.04,27.9,Tyreek Hill,WR,KC,695,3.6,18,39,10
3.04,28.2,Stefon Diggs,WR,MIN,585,3.2,19,37,7
3.04,28.3,LeSean McCoy,RB,BUF,592,4.1,17,41,11
3.06,29.6,Royce Freeman,RB,DEN,754,4.1,18,43,5
3.06,29.8,T.Y. Hilton,WR,IND,641,3.7,20,41,7
3.06,30.5,Aaron Rodgers,QB,GB,551,6.0,14,48,5
3.08,31.9,Jerick McKinnon,RB,SF,524,4.1,21,44,11
3.10,33.6,Travis Kelce,TE,KC,601,4.6,21,47,10
3.11,34.7,Lamar Miller,RB,HOU,753,4.3,23,54,8
3.11,35.0,Doug Baldwin,WR,SEA,564,4.4,23,54,6
3.12,35.5,Kenyan Drake,RB,MIA,857,4.5,23,48,7
3.12,36.0,Amari Cooper,WR,DAL,682,4.2,25,47,10
4.02,38.2,Adam Thielen,WR,MIN,644,4.3,27,51,7
4.03,39.3,Jay Ajayi,RB,PHI,647,5.3,25,62,9
4.04,40.4,JuJu Smith-Schuster,WR,PIT,569,4.5,28,58,4
4.06,42.4,Deshaun Watson,QB,HOU,406,7.1,23,66,8
4.07,43.0,Larry Fitzgerald,WR,ARI,549,4.3,31,61,8
4.07,43.1,Marshawn Lynch,RB,LV,612,4.5,31,58,6
4.08,43.7,Josh Gordon,WR,NE,487,5.7,28,60,5
4.08,44.1,Mark Ingram,RB,NO,599,4.9,31,60,6
4.09,44.8,Zach Ertz,TE,PHI,530,5.4,30,58,9
4.10,46.1,Chris Hogan,WR,NE,649,4.7,33,59,5
4.12,48.4,Brandin Cooks,WR,LAR,541,5.1,35,63,9
5.01,48.5,Carlos Hyde,RB,JAX,763,5.7,33,72,8
5.02,49.7,Jimmy Graham,TE,GB,408,6.3,33,69,5
5.04,52.1,Tom Brady,QB,NE,413,8.5,30,72,5
5.04,52.2,Demaryius Thomas,WR,HOU,554,4.9,39,74,8
5.05,52.8,Kerryon Johnson,RB,DET,545,6.2,36,71,5
5.06,53.5,Jarvis Landry,WR,CLE,618,5.2,39,67,9
5.06,54.3,Marquise Goodwin,WR,SF,682,5.2,40,68,11
5.07,55.1,Jamaal Williams,RB,GB,784,7.1,36,79,5
5.09,56.5,Allen Robinson,WR,CHI,568,5.6,41,73,11
5.10,57.9,Russell Wilson,QB,SEA,396,7.5,38,75,6
5.10,58.2,Rex Burkhead,RB,NE,530,6.6,41,83,5
5.10,58.3,Marvin Jones,WR,DET,588,5.7,43,86,5
6.01,60.6,Chris Carson,RB,SEA,695,6.6,43,83,6
6.01,61.4,Greg Olsen,TE,CAR,402,6.6,44,92,13
6.01,61.5,Dion Lewis,RB,TEN,520,7.4,42,83,4
6.05,64.5,Drew Brees,QB,NO,371,7.5,45,83,6
6.05,64.6,Corey Davis,WR,TEN,572,5.4,50,82,4
6.07,67.0,Golden Tate,WR,PHI,580,6.1,51,86,9
6.07,67.3,Cam Newton,QB,CAR,377,8.2,45,100,13
6.08,67.6,Will Fuller,WR,HOU,503,6.5,50,92,8
6.09,69.3,Trey Burton,TE,CHI,470,7.1,52,98,11
6.10,70.2,Peyton Barber,RB,TB,853,9.3,46,100,13
6.11,70.8,Emmanuel Sanders,WR,DEN,694,7.1,52,93,5
6.12,71.7,Tevin Coleman,RB,ATL,562,8.1,50,96,10
6.12,72.3,Alshon Jeffery,WR,PHI,366,8.0,51,101,9
7.01,72.8,Evan Engram,TE,NYG,329,7.9,52,92,11
7.02,73.6,Rashaad Penny,RB,SEA,418,8.7,50,97,6
7.04,76.2,Julian Edelman,WR,NE,539,7.9,55,99,5
7.06,77.5,Michael Crabtree,WR,BAL,531,7.0,59,98,7
7.06,77.5,Kyle Rudolph,TE,MIN,346,8.5,55,119,7
7.06,78.4,Isaiah Crowell,RB,NYJ,517,8.8,55,102,10
7.07,79.4,Sony Michel,RB,NE,580,8.7,56,100,5
7.09,81.4,Carson Wentz,QB,PHI,277,9.9,55,106,9
7.10,81.7,Sammy Watkins,WR,KC,451,7.4,62,101,10
7.10,82.1,Kirk Cousins,QB,MIN,347,9.1,58,110,7
7.11,83.3,Delanie Walker,TE,TEN,342,8.0,63,112,4
7.12,84.3,Marlon Mack,RB,IND,476,8.9,61,104,7
8.02,86.5,Andrew Luck,QB,IND,374,9.9,60,114,7
8.03,86.7,Adrian Peterson,RB,WAS,786,11.9,55,129,8
8.03,87.5,Aaron Jones,RB,GB,429,7.4,68,107,5
8.04,87.5,Ronald Jones II,RB,TB,246,10.4,60,110,13
8.04,87.7,Jordy Nelson,WR,LV,343,8.5,65,105,6
8.04,87.8,Robby Anderson,WR,NYJ,547,8.5,65,112,10
8.05,88.6,Devin Funchess,WR,CAR,495,8.9,65,112,13
8.07,90.7,Chris Thompson,RB,WAS,372,8.6,68,110,8
8.08,91.7,Jacksonville Defense,DEF,JAX,540,8.4,69,106,8
8.09,92.6,Cooper Kupp,WR,LAR,483,8.6,70,112,9
8.10,94.3,Jordan Reed,TE,WAS,385,11.6,65,135,8
8.12,95.6,Tarik Cohen,RB,CHI,252,8.8,72,119,11
8.12,95.9,Matthew Stafford,QB,DET,465,10.7,68,122,5
9.02,97.7,Jimmy Garoppolo,QB,SF,358,11.2,68,121,11
9.02,98.2,Nelson Agholor,WR,PHI,482,9.3,74,120,9
9.03,98.6,Randall Cobb,WR,GB,310,8.6,76,118,5
9.04,99.8,Mike Williams,WR,LAC,475,7.9,79,117,6
9.05,101.3,LA Rams Defense,DEF,LAR,297,7.6,81,122,9
9.06,102.5,David Njoku,TE,CLE,434,13.3,67,143,9
9.07,103.1,LeGarrette Blount,RB,DET,205,11.1,74,126,5
9.08,104.4,Kelvin Benjamin,WR,KC,282,8.7,81,124,10
9.08,104.4,Philip Rivers,QB,LAC,558,9.2,80,127,6
9.11,107.0,Robert Woods,WR,LAR,316,9.7,81,125,9
9.12,108.0,CJ Anderson,RB,LAR,211,10.8,79,142,9
9.12,108.4,Jamison Crowder,WR,WAS,376,8.1,87,127,8
9.12,108.4,Minnesota Defense,DEF,MIN,254,13.3,73,135,7
10.02,109.6,Kenny Stills,WR,MIA,516,9.7,84,133,7
10.02,109.7,Matt Ryan,QB,ATL,515,10.4,82,130,10
10.02,110.0,Latavius Murray,RB,MIN,337,11.5,80,138,7
10.03,111.3,Nick Chubb,RB,CLE,277,10.7,83,138,9
10.04,112.5,Ben Roethlisberger,QB,PIT,467,11.6,82,134,4
10.08,115.8,Pat Mahomes,QB,KC,496,10.0,89,142,10
10.08,116.4,Corey Clement,RB,PHI,337,11.4,86,143,9
10.08,116.5,Pierre Garcon,WR,SF,297,9.0,93,136,11
10.09,117.2,Philadelphia Defense,DEF,PHI,197,8.1,96,140,9
10.10,118.2,Sterling Shepard,WR,NYG,385,10.2,91,141,11
10.11,119.4,D.J. Moore,WR,CAR,253,9.5,94,138,13
11.01,121.0,Calvin Ridley,WR,ATL,245,9.6,95,140,10
11.01,121.1,James White,RB,NE,366,13.8,85,144,5
11.02,122.2,LA Chargers Defense,DEF,LAC,198,8.8,99,160,6
11.05,124.5,Kenny Golladay,WR,DET,294,10.7,96,144,5
11.05,125.0,Allen Hurns,WR,DAL,267,10.3,98,145,10
11.05,125.2,Jared Goff,QB,LAR,323,10.1,98,151,9
11.07,126.7,John Brown,WR,BAL,282,10.3,99,146,7
11.07,127.5,Ty Montgomery,RB,BAL,211,14.0,91,170,7
11.08,127.6,Alfred Morris,RB,SF,427,31.9,44,195,11
11.08,128.4,Houston Defense,DEF,HOU,173,7.5,108,148,8
11.09,128.7,George Kittle,TE,SF,572,15.9,87,170,11
11.09,129.0,Duke Johnson,RB,CLE,328,13.6,93,176,9
11.10,129.9,Baltimore Defense,DEF,BAL,157,8.8,107,151,7
11.12,132.0,Michael Gallup,WR,DAL,274,9.4,107,168,10
12.01,132.5,Cameron Meredith,WR,NO,180,10.6,104,162,6
12.01,133.5,Marcus Mariota,QB,TEN,213,9.9,107,161,4
12.02,133.7,Jack Doyle,TE,IND,561,19.0,84,173,7
12.03,134.8,Alex Smith,QB,WAS,236,10.6,107,164,8
12.03,135.0,Keelan Cole,WR,JAX,445,15.3,95,178,8
12.03,135.4,Bilal Powell,RB,NYJ,502,15.7,94,179,10
12.05,136.9,Tyler Lockett,WR,SEA,242,11.5,107,164,6
12.05,137.1,Derek Carr,QB,LV,188,12.0,105,170,6
12.08,139.7,Denver Defense,DEF,DEN,183,10.2,113,168,5
12.08,140.4,DeVante Parker,WR,MIA,162,13.5,105,174,7
12.09,141.1,Doug Martin,RB,LV,236,13.9,105,177,6
12.10,141.7,Matt Breida,RB,SF,503,22.5,83,180,11
12.11,142.8,Devontae Booker,RB,DEN,283,15.3,103,174,5
13.01,144.5,Greg Zuerlein,PK,LAR,656,13.7,108,161,9
13.01,145.5,New Orleans Defense,DEF,NO,199,11.5,121,180,6
13.02,146.2,Chris Godwin,WR,TB,228,17.5,100,180,13
13.03,146.9,Tyler Eifert,TE,CIN,521,19.9,95,184,9
13.03,147.0,Stephen Gostkowski,PK,NE,362,13.2,112,160,5
13.03,147.4,Jordan Wilkins,RB,IND,360,15.8,106,180,7
13.05,149.3,Mohamed Sanu,WR,ATL,28,31.6,70,217,10
13.06,150.4,Anthony Miller,WR,CHI,177,13.7,114,179,11
13.07,151.2,Rob Kelley,RB,WAS,101,19.5,100,188,8
13.08,151.5,Justin Tucker,PK,BAL,216,11.2,122,163,7
13.08,151.7,Geronimo Allison,WR,GB,223,13.7,116,174,5
13.08,151.7,Dak Prescott,QB,DAL,191,16.5,108,186,10
13.10,153.6,O.J. Howard,TE,TB,271,20.4,100,182,13
13.10,154.2,John Ross,WR,CIN,298,17.4,109,180,9
13.11,154.8,Jameis Winston,QB,TB,178,13.7,119,179,13
13.11,154.9,James Conner,RB,PIT,320,17.2,110,186,4
13.11,155.3,Giovani Bernard,RB,CIN,252,17.8,109,185,9
13.12,155.7,Eric Ebron,TE,IND,87,19.3,105,182,7
13.12,155.8,Donta Foreman,RB,HOU,92,19.9,104,183,8
13.12,156.1,Eli Manning,QB,NYG,163,16.1,114,180,11
14.01,156.5,Josh Doctson,WR,WAS,160,15.2,117,183,8
