ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.01,1.3,Antonio Brown,WR,PIT,196,0.6,1,4,4
1.02,2.4,Todd Gurley,RB,LAR,103,1.2,1,7,9
1.03,3.3,Julio Jones,WR,ATL,143,1.1,1,7,10
1.04,4.0,Odell Beckham Jr,WR,NYG,286,1.4,1,9,11
1.05,5.4,David Johnson,RB,ARI,205,2.4,1,15,8
1.06,6.3,Ezekiel Elliott,RB,DAL,168,2.1,1,11,10
1.07,6.6,Adrian Peterson,RB,MIN,224,2.1,1,12,7
1.08,8.2,Lamar Miller,RB,HOU,222,1.7,4,12,8
1.09,8.9,A.J. Green,WR,CIN,252,2.0,4,13,9
1.09,9.1,DeAndre Hopkins,WR,HOU,260,2.1,5,16,8
1.10,10.1,LeVeon Bell,RB,PIT,217,2.6,3,19,4
1.12,11.9,Allen Robinson,WR,JAX,260,2.0,6,18,8
2.02,13.9,Rob Gronkowski,TE,NE,183,3.3,5,22,5
2.02,14.0,Dez Bryant,WR,DAL,144,2.1,10,21,10
2.03,15.2,Mike Evans,WR,TB,209,2.3,9,23,13
2.03,15.3,Eddie Lacy,RB,GB,253,2.6,8,24,5
2.05,16.5,Jamaal Charles,RB,KC,143,3.6,8,24,10
2.06,17.6,Devonta Freeman,RB,ATL,208,3.1,11,28,10
2.06,17.7,Brandon Marshall,WR,NYJ,234,2.7,10,25,10
2.07,19.3,Jordy Nelson,WR,GB,256,3.1,12,29,5
2.08,19.7,LeSean McCoy,RB,BUF,219,3.1,12,30,11
2.09,21.1,Keenan Allen,WR,LAC,208,3.3,13,31,6
2.10,22.5,Amari Cooper,WR,LV,198,3.5,14,31,6
2.11,22.9,Mark Ingram,RB,NO,224,3.6,13,32,6
2.12,24.1,Doug Martin,RB,TB,193,3.7,14,34,13
3.02,26.3,Alshon Jeffery,WR,CHI,179,3.7,16,38,11
3.03,27.3,Brandin Cooks,WR,NO,176,3.6,17,37,6
3.04,27.7,Cam Newton,QB,CAR,152,7.0,9,43,13
3.05,28.6,CJ Anderson,RB,DEN,176,4.0,18,39,5
3.05,29.0,Sammy Watkins,WR,BUF,176,3.6,19,40,11
3.07,30.7,Latavius Murray,RB,LV,196,4.0,23,40,6
3.08,31.5,T.Y. Hilton,WR,IND,224,3.4,22,43,7
3.08,32.3,Aaron Rodgers,QB,GB,159,7.2,13,46,5
3.08,32.4,Demaryius Thomas,WR,DEN,216,3.7,23,44,5
3.09,32.6,Thomas Rawls,RB,SEA,236,4.6,20,47,6
3.10,33.7,Randall Cobb,WR,GB,211,4.3,22,45,5
4.01,36.5,DeMarco Murray,RB,TEN,194,5.1,23,48,4
4.01,36.5,Jeremy Hill,RB,CIN,210,4.4,25,47,9
4.02,38.1,Kelvin Benjamin,WR,CAR,222,5.1,24,51,13
4.04,39.9,Jarvis Landry,WR,MIA,185,4.0,29,51,7
4.04,40.0,Carlos Hyde,RB,SF,191,5.1,26,52,11
4.04,40.0,Jordan Reed,TE,WAS,158,5.2,26,55,8
4.06,41.7,Donte Moncrief,WR,IND,170,4.7,29,58,7
4.06,42.4,Matt Forte,RB,NYJ,207,4.5,30,56,10
4.08,43.8,Jeremy Langford,RB,CHI,205,5.1,30,60,11
4.09,44.9,Jeremy Maclin,WR,KC,188,5.5,30,57,10
4.09,45.2,Melvin Gordon,RB,LAC,204,5.2,31,57,6
4.11,46.9,Jonathan Stewart,RB,CAR,159,5.4,32,59,13
4.11,47.4,Russell Wilson,QB,SEA,129,5.9,32,63,6
4.12,47.9,Eric Decker,WR,NYJ,197,5.8,32,61,10
5.02,50.3,Julian Edelman,WR,NE,143,6.3,33,62,5
5.03,51.3,Greg Olsen,TE,CAR,158,6.2,35,65,13
5.03,51.5,Josh Gordon,WR,CLE,197,5.7,38,67,9
5.04,51.9,Doug Baldwin,WR,SEA,189,6.4,35,66,6
5.05,52.9,Arian Foster,RB,MIA,156,5.3,39,65,7
5.07,54.8,Andrew Luck,QB,IND,147,6.0,39,68,7
5.07,55.2,Michael Floyd,WR,ARI,216,5.8,40,81,8
5.07,55.3,Ryan Mathews,RB,PHI,232,5.5,40,70,9
5.09,57.2,Drew Brees,QB,NO,123,5.9,41,71,6
5.12,60.0,Golden Tate,WR,DET,193,5.8,44,76,5
6.01,60.9,Matt Jones,RB,WAS,161,6.0,45,75,8
6.01,61.3,Marvin Jones,WR,DET,197,5.9,49,80,5
6.01,61.4,Travis Kelce,TE,KC,102,5.0,48,73,10
6.02,61.8,DeAngelo Williams,RB,PIT,154,5.5,50,80,4
6.03,62.6,Frank Gore,RB,IND,147,7.1,44,81,7
6.04,64.4,Ben Roethlisberger,QB,PIT,106,6.8,49,81,4
6.05,65.4,Rashad Jennings,RB,NYG,189,5.7,50,82,11
6.06,65.8,Allen Hurns,WR,JAX,181,8.8,43,91,8
6.06,66.0,Tom Brady,QB,NE,118,6.8,48,81,5
6.08,67.7,Giovani Bernard,RB,CIN,193,6.7,50,84,9
6.09,68.9,Delanie Walker,TE,TEN,105,7.1,50,87,4
6.10,69.6,Chris Ivory,RB,JAX,159,7.7,49,90,8
6.10,70.5,Derrick Henry,RB,TEN,219,7.2,51,89,4
6.12,71.6,Larry Fitzgerald,WR,ARI,176,9.8,46,97,8
7.01,72.7,Coby Fleener,TE,NO,105,7.1,54,90,6
7.02,73.9,Tyler Lockett,WR,SEA,171,8.4,52,96,6
7.04,76.1,Emmanuel Sanders,WR,DEN,194,9.6,51,98,5
7.05,77.3,Ameer Abdullah,RB,DET,210,6.6,60,101,5
7.05,77.4,Carson Palmer,QB,ARI,110,8.1,56,96,8
7.06,78.3,John Brown,WR,ARI,180,8.0,57,97,8
7.09,80.5,Duke Johnson,RB,CLE,137,8.6,58,103,9
7.09,80.6,Jordan Matthews,WR,PHI,224,8.4,59,100,9
7.09,81.3,Gary Barnidge,TE,CLE,83,6.7,68,104,9
7.10,81.6,Blake Bortles,QB,JAX,90,10.1,55,108,8
7.10,82.0,LeGarrette Blount,RB,NE,180,8.3,60,100,5
7.11,83.2,DeSean Jackson,WR,WAS,233,9.0,59,100,8
8.02,86.0,Danny Woodhead,RB,LAC,144,8.1,64,101,6
8.02,86.5,Justin Forsett,RB,BAL,151,7.7,66,105,7
8.03,87.0,Sterling Shepard,WR,NYG,162,8.2,69,105,11
8.05,88.7,Isaiah Crowell,RB,CLE,115,7.9,68,110,9
8.06,90.3,Eli Manning,QB,NYG,113,10.2,63,111,11
8.06,90.4,TJ Yeldon,RB,JAX,155,6.5,74,103,8
8.07,90.6,Michael Crabtree,WR,LV,188,7.1,72,110,6
8.07,91.1,Julius Thomas,TE,JAX,73,11.5,73,134,8
8.07,91.3,Tyler Eifert,TE,CIN,56,13.4,68,133,9
8.08,91.6,Christine Michael,RB,SEA,123,6.5,74,106,6
8.10,94.2,Denver Defense,DEF,DEN,97,8.2,72,110,5
8.11,95.4,Philip Rivers,QB,LAC,130,8.4,73,115,6
9.02,97.8,DeVante Parker,WR,MIA,100,8.1,76,113,7
9.02,98.4,Devin Funchess,WR,CAR,129,9.4,73,115,13
9.03,99.3,Jay Ajayi,RB,MIA,75,8.8,76,118,7
9.04,99.8,Charles Sims,RB,TB,109,6.3,83,115,13
9.05,100.5,Stefon Diggs,WR,MIN,63,13.1,66,119,7
9.05,101.4,Derek Carr,QB,LV,108,9.1,77,120,6
9.06,101.9,Kevin White,WR,CHI,129,8.2,80,118,11
9.07,102.5,Antonio Gates,TE,LAC,99,14.3,68,137,6
9.08,103.5,Arizona Defense,DEF,ARI,86,6.2,87,114,8
9.08,103.8,Alfred Morris,RB,DAL,76,8.1,82,119,10
9.10,105.5,Seattle Defense,DEF,SEA,100,8.2,84,120,6
9.11,106.6,Tevin Coleman,RB,ATL,95,8.6,85,129,10
9.11,107.4,Travis Benjamin,WR,LAC,114,9.6,82,129,6
9.12,107.7,Tyrod Taylor,QB,BUF,150,9.7,82,132,11
10.02,110.4,Kirk Cousins,QB,WAS,133,9.8,84,130,8
10.03,110.8,Willie Snead,WR,NO,115,8.5,88,130,6
10.03,111.4,Bilal Powell,RB,NYJ,108,9.0,88,134,10
10.05,112.8,Zach Ertz,TE,PHI,140,15.9,71,149,9
10.05,113.2,Spencer Ware,RB,KC,204,13.4,78,156,10
10.06,113.8,Corey Coleman,WR,CLE,80,10.8,85,133,9
10.06,113.9,Carolina Defense,DEF,CAR,51,5.4,99,126,13
10.06,114.3,James White,RB,NE,72,8.7,92,134,5
10.09,117.0,Torrey Smith,WR,SF,82,10.7,89,135,11
10.09,117.1,Jameis Winston,QB,TB,135,10.1,90,133,13
10.10,118.4,Tavon Austin,WR,LAR,97,9.5,93,135,9
10.11,118.7,DeAndre Washington,RB,LV,120,10.4,91,142,6
10.11,118.8,Markus Wheaton,WR,PIT,73,12.1,87,137,4
11.01,120.9,Houston Defense,DEF,HOU,54,6.4,110,137,8
11.01,120.9,Kamar Aiken,WR,BAL,80,11.6,90,138,7
11.03,123.5,Michael Thomas,WR,NO,71,10.9,95,140,6
11.04,123.6,Matthew Stafford,QB,DET,138,8.0,102,138,5
11.04,124.0,Jimmy Graham,TE,SEA,171,17.6,78,171,6
11.04,124.4,Kansas City Defense,DEF,KC,50,9.5,101,143,10
11.05,124.7,Vincent Jackson,WR,TB,99,13.0,90,143,13
11.07,127.4,Devontae Booker,RB,DEN,96,12.3,100,166,5
11.08,127.8,Martellus Bennett,TE,NE,214,14.9,89,166,5
11.09,128.8,Andy Dalton,QB,CIN,89,13.2,94,150,9
11.09,129.0,Tajae Sharpe,WR,TEN,102,8.8,106,142,4
11.09,129.5,Mohamed Sanu,WR,ATL,53,12.0,100,146,10
11.10,130.0,Marcus Mariota,QB,TEN,78,11.5,99,145,4
12.01,132.6,Steve Smith,WR,BAL,55,11.2,113,169,7
12.01,132.7,New England Defense,DEF,NE,52,11.0,104,158,5
12.04,136.3,Dion Lewis,RB,NE,60,14.2,100,172,5
12.04,136.5,Will Fuller,WR,HOU,61,11.5,106,153,8
12.05,136.5,Darren Sproles,RB,PHI,73,14.3,103,172,9
12.06,137.6,Dwayne Allen,TE,IND,188,17.7,91,176,7
12.06,137.7,Dak Prescott,QB,DAL,55,14.6,99,169,10
12.06,137.9,Stephen Gostkowski,PK,NE,236,16.1,96,158,5
12.09,141.4,Jared Cook,TE,GB,188,19.3,91,177,5
12.10,142.5,Chris Hogan,WR,NE,56,12.2,110,167,5
13.02,146.0,Chris Johnson,RB,ARI,101,16.0,104,171,8
13.03,146.7,Jerick McKinnon,RB,MIN,130,15.2,109,175,7
13.06,149.7,Theo Riddick,RB,DET,77,12.9,119,176,5
13.06,150.1,Cincinnati Defense,DEF,CIN,78,13.4,125,180,9
13.06,150.2,Ryan Tannehill,QB,MIA,54,12.2,118,180,7
13.07,151.1,Terrance West,RB,BAL,61,17.6,116,180,7
13.08,152.1,Steven Hauschka,PK,SEA,75,7.7,132,160,6
13.09,152.6,James Starks,RB,GB,97,16.9,108,179,5
13.10,153.5,Ryan Fitzpatrick,QB,NYJ,66,15.9,112,179,10
13.10,153.9,Rishard Matthews,WR,TEN,62,13.7,118,180,4
13.10,154.5,Mike Wallace,WR,BAL,70,14.5,116,178,7
13.11,154.8,NY Jets Defense,DEF,NYJ,66,13.8,118,180,10
13.11,155.5,Robert Griffin III,QB,CLE,62,13.7,120,180,9
13.12,155.6,Tyler Boyd,WR,CIN,70,20.2,103,180,9
13.12,155.6,Jason Witten,TE,DAL,56,21.9,98,180,10
14.01,157.5,Zach Miller,TE,CHI,54,15.7,116,180,11
14.02,157.9,Justin Tucker,PK,BAL,50,7.8,137,174,7
14.03,158.5,Minnesota Defense,DEF,MIN,128,15.3,118,180,7
14.05,161.4,Oakland Defense,DEF,LV,79,10.5,134,180,6
14.11,166.6,Chandler Catanzaro,PK,ARI,50,7.5,154,180,8
