ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.02,1.6,LeSean McCoy,RB,PHI,279,0.9,1,5,9
1.03,3.1,Adrian Peterson,RB,MIN,328,1.4,1,8,7
1.04,3.5,Jamaal Charles,RB,KC,382,1.3,1,7,10
1.04,4.2,Matt Forte,RB,CHI,139,1.5,1,8,11
1.05,5.5,Calvin Johnson,WR,DET,263,1.6,1,11,5
1.06,6.3,Peyton Manning,QB,DEN,225,3.2,1,17,5
1.08,8.2,Demaryius Thomas,WR,DEN,263,1.9,3,14,5
1.08,8.2,Jimmy Graham,TE,NO,303,2.1,2,17,6
1.09,9.4,Eddie Lacy,RB,GB,513,4.0,1,20,5
1.10,9.7,Montee Ball,RB,DEN,302,2.3,4,16,5
1.10,9.8,Marshawn Lynch,RB,SEA,318,2.7,2,20,6
1.12,11.7,Dez Bryant,WR,DAL,344,2.4,5,21,10
2.01,13.2,DeMarco Murray,RB,DAL,264,2.8,6,23,10
2.02,13.7,A.J. Green,WR,CIN,318,2.3,7,21,9
2.02,13.9,Drew Brees,QB,NO,317,5.0,1,26,6
2.03,15.1,Julio Jones,WR,ATL,291,2.2,9,22,10
2.05,17.1,Brandon Marshall,WR,CHI,342,2.4,10,23,11
2.06,17.6,Giovani Bernard,RB,CIN,296,3.1,9,25,9
2.06,18.5,Aaron Rodgers,QB,GB,345,4.1,7,35,5
2.07,18.9,Doug Martin,RB,TB,308,3.0,11,28,13
2.08,20.3,Jordy Nelson,WR,GB,323,2.6,13,27,5
2.10,22.1,Arian Foster,RB,HOU,244,4.8,9,33,8
2.10,22.3,Antonio Brown,WR,PIT,259,3.0,14,32,4
2.12,24.2,Alfred Morris,RB,WAS,268,4.1,14,34,8
3.01,24.9,Andre Ellington,RB,ARI,285,3.9,14,45,8
3.01,25.3,Alshon Jeffery,WR,CHI,316,3.0,17,36,11
3.03,26.6,Julius Thomas,TE,DEN,257,4.5,14,38,5
3.04,28.1,Randall Cobb,WR,GB,290,3.5,18,42,5
3.05,28.7,LeVeon Bell,RB,PIT,328,3.9,18,39,4
3.06,29.8,Zac Stacy,RB,LAR,306,3.8,19,41,9
3.06,30.0,Rob Gronkowski,TE,NE,283,5.0,16,42,5
3.07,31.3,Keenan Allen,WR,LAC,279,4.0,20,42,6
3.09,32.7,Reggie Bush,RB,DET,291,4.3,21,45,5
3.10,34.5,Cordarrelle Patterson,WR,MIN,259,4.7,22,56,7
3.10,34.5,Shane Vereen,RB,NE,283,4.9,21,72,5
3.11,35.5,Vincent Jackson,WR,TB,266,4.3,24,46,13
3.12,36.4,Rashad Jennings,RB,NYG,272,4.4,25,48,11
4.02,38.4,Roddy White,WR,ATL,242,4.4,26,51,10
4.03,39.1,Toby Gerhart,RB,JAX,247,5.0,26,55,8
4.03,39.2,Matthew Stafford,QB,DET,188,8.2,18,58,5
4.04,39.7,C.J. Spiller,RB,None,252,5.4,25,58,None
4.04,40.3,Larry Fitzgerald,WR,ARI,244,4.4,28,52,8
4.07,42.7,Ryan Mathews,RB,LAC,234,5.6,30,75,6
4.07,43.0,Emmanuel Sanders,WR,DEN,291,5.5,28,59,5
4.07,43.3,Victor Cruz,WR,NYG,222,4.8,30,58,11
4.08,44.0,Percy Harvin,WR,SEA,286,5.1,30,57,6
4.09,44.6,Andre Johnson,WR,HOU,285,5.0,31,69,8
4.10,45.6,Frank Gore,RB,SF,307,6.2,29,62,11
4.11,47.0,Andrew Luck,QB,IND,206,9.1,23,70,7
4.12,48.2,Pierre Garcon,WR,WAS,228,5.6,33,60,8
5.02,49.5,Michael Floyd,WR,ARI,264,5.8,36,70,8
5.02,50.3,Ray Rice,RB,BAL,271,7.4,31,65,7
5.03,51.4,Joique Bell,RB,DET,297,6.4,35,74,5
5.04,52.4,Michael Crabtree,WR,SF,282,5.7,37,72,11
5.04,52.4,Tom Brady,QB,NE,202,10.1,26,80,5
5.06,53.7,Ben Tate,RB,CLE,302,6.6,36,71,9
5.08,55.6,Vernon Davis,TE,SF,159,8.4,33,75,11
5.09,56.7,Chris Johnson,RB,NYJ,231,6.3,40,78,10
5.09,57.0,DeSean Jackson,WR,WAS,227,5.8,42,72,8
5.10,57.6,Jordan Cameron,TE,CLE,196,7.9,37,78,9
5.11,58.7,T.Y. Hilton,WR,IND,251,7.0,40,76,7
5.12,59.6,Torrey Smith,WR,BAL,270,6.3,45,74,7
6.01,60.7,Bishop Sankey,RB,TEN,226,6.4,44,80,4
6.02,62.4,Julian Edelman,WR,NE,227,7.0,44,78,5
6.03,62.6,Matt Ryan,QB,ATL,219,8.2,41,93,10
6.05,64.7,Maurice Jones-Drew,RB,LV,244,7.6,44,95,6
6.05,65.3,Jeremy Maclin,WR,PHI,246,6.9,47,87,9
6.06,65.6,Nick Foles,QB,PHI,211,9.7,40,98,9
6.07,67.2,Trent Richardson,RB,IND,208,9.2,43,113,7
6.08,67.5,Marques Colston,WR,NO,226,6.9,49,91,6
6.08,68.4,Pierre Thomas,RB,NO,208,7.2,49,90,6
6.09,68.6,Jason Witten,TE,DAL,163,8.2,47,90,10
6.10,70.3,Wes Welker,WR,DEN,207,9.0,46,91,5
7.01,72.6,Kyle Rudolph,TE,MIN,155,8.1,51,92,7
7.01,72.6,Brandin Cooks,WR,NO,210,7.8,56,92,6
7.01,73.3,Jay Cutler,QB,CHI,209,8.7,50,100,11
7.03,75.4,Golden Tate,WR,DET,215,7.1,56,93,5
7.04,76.1,Mike Wallace,WR,MIA,250,7.5,56,96,7
7.05,77.0,Steven Jackson,RB,ATL,221,7.9,56,96,10
7.06,78.2,Lamar Miller,RB,MIA,171,9.3,53,99,7
7.09,80.7,Darren Sproles,RB,PHI,166,10.0,54,101,9
7.09,80.9,Terrance Williams,WR,DAL,208,8.0,60,102,10
7.11,82.5,Reggie Wayne,WR,IND,198,7.0,64,99,7
7.11,83.0,Tony Romo,QB,DAL,200,9.8,57,131,10
