ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.01,1.4,Chris Johnson,RB,TEN,461,0.7,1,6,4
1.02,2.1,Adrian Peterson,RB,MIN,286,0.7,1,4,7
1.03,3.0,Ray Rice,RB,BAL,157,0.7,1,5,7
1.04,4.4,Maurice Jones-Drew,RB,JAX,355,1.2,1,8,8
1.06,5.6,Andre Johnson,WR,HOU,315,1.4,2,9,8
1.06,6.0,Frank Gore,RB,SF,453,1.4,2,11,11
1.07,6.8,Aaron Rodgers,QB,GB,327,2.3,1,15,5
1.08,8.1,Michael Turner,RB,ATL,508,2.1,3,16,10
1.09,8.8,Randy Moss,WR,TEN,341,1.8,4,15,4
1.12,11.8,Steven Jackson,RB,LAR,352,2.8,4,23,9
1.12,11.9,Reggie Wayne,WR,IND,212,2.7,5,21,7
1.12,12.1,Drew Brees,QB,NO,505,3.7,2,24,6
2.01,12.6,Calvin Johnson,WR,DET,260,2.7,5,21,5
2.03,14.8,Ryan Mathews,RB,LAC,483,3.7,5,26,6
2.03,15.1,Miles Austin,WR,DAL,252,2.8,7,23,10
2.05,16.6,Roddy White,WR,ATL,300,3.1,9,28,10
2.06,17.7,Peyton Manning,QB,IND,463,4.3,6,27,7
2.06,18.2,Rashard Mendenhall,RB,PIT,428,4.0,7,31,4
2.07,18.9,Brandon Marshall,WR,MIA,255,3.4,9,29,7
2.07,19.2,Larry Fitzgerald,WR,ARI,311,3.4,13,29,8
2.08,20.4,DeAngelo Williams,RB,CAR,434,4.8,8,35,13
2.10,21.5,Greg Jennings,WR,GB,406,3.4,12,31,5
2.12,24.2,DeSean Jackson,WR,PHI,284,4.0,13,33,9
3.01,25.0,Shonn Greene,RB,NYJ,384,5.6,10,36,10
3.01,25.2,Tom Brady,QB,NE,476,5.5,10,41,5
3.02,25.7,Marques Colston,WR,NO,317,4.0,15,36,6
3.03,27.3,Jamaal Charles,RB,KC,298,5.7,12,41,10
3.04,28.2,Wes Welker,WR,NE,159,4.4,16,40,5
3.04,28.5,Ryan Grant,RB,GB,441,5.3,14,41,5
3.07,31.1,Anquan Boldin,WR,BAL,339,4.4,19,45,7
3.08,31.7,Cedric Benson,RB,CIN,354,5.4,17,45,9
3.08,31.9,Matt Schaub,QB,HOU,357,6.1,16,47,8
3.08,32.4,Pierre Thomas,RB,NO,276,4.5,20,47,6
3.10,34.2,Steve Smith,WR,NYG,231,6.1,21,52,11
3.11,35.0,Tony Romo,QB,DAL,263,5.8,19,51,10
3.12,36.3,Arian Foster,RB,HOU,566,7.4,17,57,8
4.01,36.6,Steve Smith,WR,CAR,389,5.8,23,55,13
4.01,37.5,LeSean McCoy,RB,PHI,286,5.4,23,50,9
4.02,38.5,Jahvid Best,RB,DET,409,6.3,22,56,5
4.04,40.0,Dallas Clark,TE,IND,221,6.3,23,59,7
4.06,42.0,Antonio Gates,TE,LAC,270,5.1,28,53,6
4.06,42.0,Philip Rivers,QB,LAC,326,7.0,23,60,6
4.07,42.7,Michael Crabtree,WR,SF,319,5.8,27,61,11
4.07,42.8,Jermichael Finley,TE,GB,335,5.7,27,58,5
4.08,44.3,Matt Forte,RB,CHI,332,6.7,26,64,11
4.09,45.2,Chad Johnson,WR,CIN,330,6.7,27,62,9
4.11,47.4,Dwayne Bowe,WR,KC,355,7.0,29,66,10
4.12,47.6,Joseph Addai,RB,IND,352,7.8,27,65,7
4.12,48.2,Beanie Wells,RB,ARI,219,8.3,28,68,8
5.03,50.7,Jonathan Stewart,RB,CAR,288,8.2,29,78,13
5.04,52.0,Vernon Davis,TE,SF,270,5.7,37,68,11
5.04,52.4,Knowshon Moreno,RB,DEN,229,7.9,32,70,5
5.05,53.1,Hakeem Nicks,WR,NYG,364,7.4,33,71,11
5.06,53.9,Ronnie Brown,RB,MIA,309,7.9,33,72,7
5.08,55.8,Jason Witten,TE,DAL,201,6.7,38,76,10
5.08,56.3,Mike Sims-Walker,WR,JAX,316,7.8,36,78,8
5.08,56.3,Pierre Garcon,WR,IND,380,8.3,34,77,7
5.10,57.7,C.J. Spiller,RB,None,344,8.8,34,77,None
5.10,58.0,Percy Harvin,WR,MIN,430,7.8,37,80,7
5.10,58.1,Hines Ward,WR,PIT,223,7.1,39,75,4
5.12,59.8,Malcom Floyd,WR,LAC,461,8.4,37,81,6
6.01,60.8,Joe Flacco,QB,BAL,297,10.2,34,93,7
6.02,61.7,Brent Celek,TE,PHI,141,7.0,47,79,9
6.05,64.8,Kevin Kolb,QB,PHI,131,10.9,40,97,9
6.05,64.9,Tony Gonzalez,TE,ATL,193,7.5,45,86,10
6.05,65.2,Felix Jones,RB,DAL,128,9.2,41,90,10
6.05,65.4,Ahmad Bradshaw,RB,NYG,545,8.8,42,92,11
6.07,67.3,Donald Driver,WR,GB,352,9.2,43,91,5
6.07,67.4,Reggie Bush,RB,NO,159,11.9,36,91,6
6.08,67.6,Terrell Owens,WR,CIN,431,9.8,42,96,9
6.08,67.9,Justin Forsett,RB,SEA,192,8.7,45,92,6
6.12,72.2,Santana Moss,WR,WAS,284,9.3,47,94,8
6.12,72.3,Mike Wallace,WR,PIT,478,8.9,49,101,4
7.02,73.7,Jeremy Maclin,WR,PHI,293,8.3,52,98,9
7.03,75.1,Marion Barber,RB,DAL,274,9.2,51,101,10
7.03,75.1,Johnny Knox,WR,CHI,295,8.5,52,96,11
7.04,75.9,Jerome Harrison,RB,PHI,464,10.1,49,99,9
7.05,77.3,Owen Daniels,TE,HOU,154,9.6,57,116,8
7.06,78.4,Jay Cutler,QB,CHI,155,12.7,45,107,11
7.07,78.5,Ricky Williams,RB,MIA,212,8.2,57,101,7
7.08,80.1,Dez Bryant,WR,DAL,315,10.5,52,103,10
7.09,81.1,T.J. Houshmandzadeh,WR,BAL,96,10.1,54,102,7
7.11,82.6,Brett Favre,QB,MIN,197,16.6,39,116,7
7.12,84.2,Brandon Jacobs,RB,NYG,159,8.8,61,107,11
7.12,84.5,Michael Bush,RB,LV,130,9.2,60,105,6
8.02,86.2,Carnell Williams,RB,TB,305,8.5,64,104,13
8.03,86.5,NY Jets Defense,DEF,NYJ,283,10.8,58,104,10
8.03,87.2,Clinton Portis,RB,WAS,331,10.1,60,120,8
8.03,87.2,Vincent Jackson,WR,LAC,129,10.9,58,111,6
8.05,89.4,Matt Ryan,QB,ATL,260,13.5,54,119,10
8.06,89.6,Santonio Holmes,WR,NYJ,273,9.7,64,116,10
8.06,89.9,Robert Meachem,WR,NO,333,10.5,62,120,6
8.09,93.2,Jabar Gaffney,WR,DEN,283,10.3,66,115,5
8.09,93.3,LaDainian Tomlinson,RB,NYJ,367,14.4,56,120,10
8.10,93.8,Eli Manning,QB,NYG,310,15.9,52,124,11
8.10,94.0,Thomas Jones,RB,KC,127,10.4,67,123,10
8.12,95.9,Chris Cooley,TE,WAS,188,19.3,48,147,8
9.01,96.6,Tim Hightower,RB,ARI,205,9.6,73,124,8
9.01,96.7,Visanthe Shiancoe,TE,MIN,264,21.0,58,150,7
9.01,96.9,Devin Aromashodu,WR,CHI,164,10.2,70,119,11
9.02,98.2,Carson Palmer,QB,CIN,313,14.6,60,123,9
9.02,98.3,Minnesota Defense,DEF,MIN,122,9.5,73,114,7
9.03,99.2,Steve Breaston,WR,ARI,133,11.5,69,122,8
9.04,100.2,Derrick Mason,WR,BAL,171,11.1,71,128,7
9.04,100.2,Donald Brown,RB,IND,192,9.6,75,128,7
9.06,102.3,Braylon Edwards,WR,NYJ,193,13.2,68,127,10
