ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
12.02,134.2,Ryan Broyles,WR,DET,101,12.7,101,165,5
12.02,134.3,Andre Brown,RB,HOU,120,24.1,71,176,8
12.03,134.7,Baltimore Defense,DEF,BAL,150,18.4,86,180,7
12.04,135.7,Joique Bell,RB,DET,259,14.9,97,172,5
12.06,137.8,Stephen Gostkowski,PK,NE,270,17.4,92,162,5
12.07,138.6,Matt Schaub,QB,LV,129,11.9,107,168,6
12.07,138.6,Bilal Powell,RB,NYJ,158,18.4,90,177,10
12.07,139.2,Joe Flacco,QB,BAL,137,18.6,90,179,7
12.07,139.4,Brandon Myers,TE,TB,287,19.1,89,178,13
12.10,142.1,Brian Hartline,WR,MIA,133,10.9,116,171,7
12.10,142.4,Roy Helu,RB,WAS,214,15.5,101,178,8
12.12,144.2,Fred Davis,TE,FA,263,20.3,91,179,12
13.01,144.5,Denarius Moore,WR,LV,102,14.1,107,179,6
13.01,144.8,LA Rams Defense,DEF,LAR,143,15.0,108,178,9
13.01,145.4,Sam Bradford,QB,LAR,139,12.7,112,177,9
13.02,145.6,Blair Walsh,PK,MIN,144,15.1,106,162,7
13.02,146.0,Sebastian Janikowski,PK,LV,52,35.8,53,177,6
13.05,148.6,Matt Bryant,PK,ATL,116,19.0,99,165,10
13.05,148.6,Brandon Pettigrew,TE,DET,92,23.5,87,179,5
13.05,148.8,Aaron Dobson,WR,NE,105,14.6,110,177,5
13.06,149.6,Pittsburgh Defense,DEF,PIT,115,18.3,102,180,4
13.06,149.9,Matt Prater,PK,DEN,112,17.5,104,167,5
13.07,150.7,Mohamed Sanu,WR,CIN,124,14.7,118,179,9
13.07,151.0,Felix Jones,RB,PIT,52,23.2,94,180,4
13.08,152.1,Tyler Eifert,TE,CIN,135,20.3,99,179,9
13.09,152.8,Martellus Bennett,TE,CHI,150,19.8,101,180,11
13.10,153.7,Kendall Hunter,RB,SF,185,15.8,112,178,11
13.10,153.8,Phil Dawson,PK,SF,97,10.4,126,171,11
13.10,153.8,Shonn Greene,RB,TEN,107,17.6,108,180,4
13.11,154.6,Jacoby Jones,WR,BAL,115,17.3,109,180,7
13.12,155.7,Isaiah Pead,RB,LAR,96,19.6,104,180,9
13.12,156.3,Alex Smith,QB,KC,89,14.2,119,180,10
14.01,156.7,LaMichael James,RB,SF,49,20.7,102,180,11
14.01,157.0,Arizona Defense,DEF,ARI,137,14.4,119,179,8
14.02,157.5,Green Bay Defense,DEF,GB,134,15.4,117,180,5
14.02,157.6,EJ Manuel,QB,None,75,24.0,95,180,None
14.02,158.3,Malcom Floyd,WR,LAC,85,13.8,122,180,6
14.02,158.5,Markus Wheaton,WR,PIT,66,12.1,126,180,4
14.03,159.1,Kendall Wright,WR,TEN,48,18.6,110,180,4
14.04,159.5,Daniel Thomas,RB,MIA,63,16.5,116,180,7
14.04,159.6,Michael Crabtree,WR,SF,42,18.5,111,179,11
14.04,159.7,Philip Rivers,QB,LAC,63,13.4,127,180,6
14.04,160.0,Josh Freeman,QB,NYG,101,12.3,127,180,11
14.05,161.5,Julian Edelman,WR,NE,71,13.2,128,180,5
14.08,163.5,Andre Roberts,WR,WAS,44,11.8,137,180,8
14.08,164.5,Cleveland Defense,DEF,CLE,61,10.2,137,180,9
14.09,164.5,Tampa Bay Defense,DEF,TB,131,11.4,134,180,13
14.09,164.6,Greg Zuerlein,PK,LAR,90,7.6,144,180,9
14.11,166.8,Garrett Hartley,PK,NO,116,8.3,145,180,6
14.11,167.5,David Akers,PK,DET,98,19.2,117,180,5
14.12,167.7,Randy Bullock,PK,HOU,106,17.8,121,180,8
14.12,167.7,Mason Crosby,PK,GB,49,19.6,116,180,5
15.01,168.6,Justin Tucker,PK,BAL,105,7.7,148,180,7
15.03,170.7,Dan Bailey,PK,DAL,102,7.2,152,180,10
15.03,171.1,Robbie Gould,PK,CHI,50,8.6,148,180,11
