ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.02,1.7,Adrian Peterson,RB,MIN,269,1.0,1,8,7
1.03,3.1,LeVeon Bell,RB,PIT,255,1.5,1,7,4
1.03,3.2,Eddie Lacy,RB,GB,301,1.3,1,7,5
1.04,3.7,Jamaal Charles,RB,KC,304,1.5,1,8,10
1.05,5.2,Marshawn Lynch,RB,SEA,307,1.4,1,10,6
1.06,6.4,Antonio Brown,WR,PIT,370,2.9,1,20,4
1.08,7.8,CJ Anderson,RB,DEN,288,1.9,3,16,5
1.09,8.8,Dez Bryant,WR,DAL,312,1.9,3,15,10
1.09,9.1,Julio Jones,WR,ATL,287,2.4,2,17,10
1.09,9.4,Jeremy Hill,RB,CIN,366,2.2,4,16,9
1.10,9.8,Andrew Luck,QB,IND,244,5.2,1,24,7
1.12,11.8,Demaryius Thomas,WR,DEN,345,2.1,6,19,5
1.12,11.9,Rob Gronkowski,TE,NE,357,3.6,2,21,5
2.01,13.3,DeMarco Murray,RB,PHI,362,2.9,5,21,9
2.02,14.5,Odell Beckham Jr,WR,NYG,411,2.7,7,23,11
2.03,14.8,Matt Forte,RB,CHI,399,3.2,6,23,11
2.04,16.1,Calvin Johnson,WR,DET,435,2.5,9,22,5
2.07,18.7,Randall Cobb,WR,GB,324,2.4,12,25,5
2.07,19.2,A.J. Green,WR,CIN,348,2.4,12,26,9
2.07,19.2,LeSean McCoy,RB,BUF,309,3.5,10,29,11
2.09,20.6,Justin Forsett,RB,BAL,283,3.5,11,31,7
2.09,21.4,Aaron Rodgers,QB,GB,286,5.0,8,39,5
2.09,21.5,Lamar Miller,RB,MIA,303,3.4,12,31,7
2.12,23.9,T.Y. Hilton,WR,IND,292,2.8,16,31,7
3.01,24.6,Brandin Cooks,WR,NO,299,3.3,16,34,6
3.03,26.7,Frank Gore,RB,IND,303,3.6,17,35,7
3.04,27.5,Jordan Matthews,WR,PHI,294,3.2,19,40,9
3.04,28.2,Alshon Jeffery,WR,CHI,274,3.8,18,39,11
3.05,28.6,Mark Ingram,RB,NO,309,3.6,19,36,6
3.07,30.6,Mike Evans,WR,TB,292,3.8,21,41,13
3.07,31.0,Latavius Murray,RB,LV,306,3.2,22,42,6
3.08,31.9,DeAndre Hopkins,WR,HOU,302,4.1,21,46,8
3.08,32.2,Jimmy Graham,TE,SEA,229,5.2,18,45,6
3.10,34.2,Alfred Morris,RB,WAS,291,4.3,23,47,8
